Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,192446102,CTSH ,"6,999,283","537,754,912.89",0.274,Cognizant Technology Solutions Corp,Common Stock,Information Technology,09/01/2021
QQQ,722304102,PDD ,"5,021,091","536,403,151.53",0.273,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,09/01/2021
QQQ,983919101,XLNX ,"3,262,631","503,978,610.57",0.257,Xilinx Inc,Common Stock,Information Technology,09/01/2021
QQQ,98389B100,XEL ,"7,142,571","498,194,327.25",0.254,Xcel Energy Inc,Common Stock,Utilities,09/01/2021
QQQ,57667L107,MTCH ,"3,586,825","497,205,681.50",0.253,Match Group Inc,Common Stock,Communication Services,09/01/2021
QQQ,217204106,CPRT ,"3,139,699","455,067,973.06",0.232,Copart Inc,Common Stock,Industrials,09/01/2021
QQQ,679295105,OKTA ,"1,659,719","439,427,202.44",0.224,Okta Inc,Common Stock,Information Technology,09/01/2021
QQQ,92345Y106,VRSK ,"2,151,101","436,802,569.06",0.222,Verisk Analytics Inc,Common Stock,Industrials,09/01/2021
QQQ,03662Q105,ANSS ,"1,156,615","428,016,946.90",0.218,ANSYS Inc,Common Stock,Information Technology,09/01/2021
QQQ,311900104,FAST ,"7,623,812","422,816,613.52",0.215,Fastenal Co,Common Stock,Industrials,09/01/2021
QQQ,83088M102,SWKS ,"2,190,961","398,009,975.26",0.203,Skyworks Solutions Inc,Common Stock,Information Technology,09/01/2021
QQQ,64110W102,NTES ,"3,998,728","387,476,743.20",0.197,NetEase Inc ADR,American Depository Receipt,Communication Services,09/01/2021
QQQ,81181C104,SGEN ,"2,408,394","383,922,087.54",0.195,Seagen Inc,Common Stock,Health Care,09/01/2021
QQQ,693718108,PCAR ,"4,607,191","380,830,408.06",0.194,PACCAR Inc,Common Stock,Industrials,09/01/2021
QQQ,12514G108,CDW ,"1,860,649","372,669,388.21",0.190,CDW Corp/DE,Common Stock,Information Technology,09/01/2021
QQQ,70614W100,PTON ,"3,566,510","356,793,660.40",0.182,Peloton Interactive Inc,Common Stock,Consumer Discretionary,09/01/2021
